Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,19:55,07h 54m,627.0,14 Seats available,3.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,20:50,07h 04m,729.0,6 Seats available,3.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,620.0,26 Seats available,4.7,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,567.0,24 Seats available,2.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,640.0,12 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,640.0,1 Seat available,3.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,640.0,28 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,473.0,35 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,640.0,27 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,640.0,29 Seats available,3.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
